x,y,z,Outputs
-0.042993868,-0.001357931,-64.222052,spiral
-0.064458653,-0.002715185,-5.475420981,spiral
-0.085837746,-0.005427663,149.8793901,spiral
-0.08562362,-0.008134731,79.1745091,spiral
-0.085324143,-0.01083369,-80.70710559,spiral
-0.084939612,-0.01352185,-21.27649134,spiral
-0.084470412,-0.016196531,-19.61164349,spiral
-0.08391701,-0.018855067,-0.307490709,spiral
-0.083279958,-0.021494808,48.59204723,spiral
-0.08255989,-0.024113122,-52.30177449,spiral
-0.081757525,-0.0267074,11.38470981,spiral
-0.080873663,-0.029275055,117.9427287,spiral
-0.079909183,-0.031813528,-128.8917967,spiral
-0.078865049,-0.034320289,-55.15127334,spiral
-0.0777423,-0.036792839,96.30584539,spiral
-0.076542056,-0.039228712,-63.97847008,spiral
-0.075265513,-0.041625482,64.01973301,spiral
-0.073913943,-0.043980758,5.650601012,spiral
-0.072488695,-0.046292194,-118.2527396,spiral
-0.070991189,-0.048557484,49.29284545,spiral
-0.069422916,-0.050774372,74.52759711,spiral
-0.067785442,-0.052940646,35.31815525,spiral
-0.066080398,-0.055054148,47.28459918,spiral
-0.064309483,-0.057112771,-51.44046888,spiral
-0.062474463,-0.059114462,-88.69098959,spiral
-0.060577167,-0.061057227,-35.04744412,spiral
-0.058619487,-0.062939129,46.01156413,spiral
-0.056603373,-0.064758291,107.412874,spiral
-0.054530836,-0.066512902,-53.27327105,spiral
-0.052403941,-0.06820121,-134.0235561,spiral
-0.050224809,-0.069821534,-13.82874276,spiral
-0.047995612,-0.071372259,115.1716423,spiral
-0.045718572,-0.072851838,63.81987417,spiral
-0.043395958,-0.074258797,-51.66461382,spiral
-0.041030087,-0.075591733,-10.81626887,spiral
-0.038623316,-0.076849318,-1.281487572,spiral
-0.036178044,-0.078030297,32.95563903,spiral
-0.033696709,-0.079133494,-12.29064038,spiral
-0.031181785,-0.08015781,-57.44276844,spiral
-0.028635777,-0.081102222,91.48852364,spiral
-0.026061226,-0.08196579,-61.93343095,spiral
-0.023460695,-0.082747652,-59.96041425,spiral
-0.020836779,-0.08344703,153.6446708,spiral
-0.018192092,-0.084063226,-103.9370124,spiral
-0.015529271,-0.084595626,-101.243211,spiral
-0.012850969,-0.085043699,179.8566896,spiral
-0.010159858,-0.085406999,23.77992346,spiral
-0.007458619,-0.085685163,-114.8307415,spiral
-0.004749945,-0.085877914,46.55108915,spiral
-0.002036537,-0.085985061,-31.5138779,spiral
0.000678902,-0.086006495,-90.16983779,spiral
0.003393664,-0.085942197,155.9164944,spiral
0.006105043,-0.085792229,-7.799533374,spiral
0.008810336,-0.085556742,-94.60454011,spiral
0.011506848,-0.08523597,131.098602,spiral
0.014191888,-0.084830233,-7.324467003,spiral
0.016862782,-0.084339935,-95.93800077,spiral
0.019516867,-0.083765566,-40.5715268,spiral
0.022151497,-0.083107697,-1.538262419,spiral
0.024764046,-0.082366985,44.66576898,spiral
0.02735191,-0.081544167,14.26772125,spiral
0.029912508,-0.080640064,-1.636214073,spiral
0.03244329,-0.079655578,-6.149079965,spiral
0.034941731,-0.078591689,14.95631419,spiral
0.037405341,-0.077449458,-19.53202643,spiral
0.039831665,-0.076230024,4.036335743,spiral
0.042218284,-0.074934603,51.43911627,spiral
0.044562818,-0.073564484,-23.58746073,spiral
0.046862932,-0.072121036,-27.27137032,spiral
0.049116331,-0.070605695,-2.720200845,spiral
0.05132077,-0.069019973,-4.702730507,spiral
0.053474052,-0.06736545,12.790797,spiral
0.05557403,-0.065643776,76.40114431,spiral
0.05761861,-0.063856667,-28.44910215,spiral
0.059605754,-0.062005904,-99.56321115,spiral
0.061533483,-0.060093333,32.30639964,spiral
0.063399873,-0.058120859,31.57100849,spiral
0.065203065,-0.056090449,32.98972548,spiral
0.066941261,-0.054004126,62.86428383,spiral
0.068612729,-0.051863972,-33.2568202,spiral
0.070215802,-0.049672118,-90.33513502,spiral
0.071748883,-0.04743075,-22.06061896,spiral
0.073210442,-0.045142101,-31.64868758,spiral
0.074599024,-0.042808455,25.94587478,spiral
